Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06,113.497498,113.580002,111.787498,113.355003,113.222595,24431600
2020-08-07,113.125000,115.047501,110.375000,111.995003,111.864182,34251600
2020-08-10,113.342499,114.082497,108.565002,111.650002,111.519577,42779600
2020-08-11,110.737503,111.367500,107.957497,108.500000,108.373268,35451200
2020-08-12,109.907501,114.669998,109.582497,114.402496,114.268867,46441200
2020-08-13,115.459999,117.217499,113.557503,114.430000,114.296341,37446000
2020-08-14,115.300003,117.047501,114.404999,115.639999,115.504913,36643600
2020-08-17,118.512497,124.097504,118.172501,123.370003,123.225883,62130000
2020-08-18,124.500000,124.959999,120.862503,122.607498,122.464279,50344800
2020-08-19,122.964996,123.150002,120.980003,121.385002,121.243210,62262400
2020-08-20,119.750000,123.750000,118.787498,121.410004,121.268181,92138800
2020-08-21,122.017502,128.087494,121.952499,126.834999,126.686844,99986800
2020-08-24,128.837494,129.125000,125.074997,127.202499,127.053909,49056400
2020-08-25,126.307503,127.612503,125.737503,127.500000,127.351067,28907600
2020-08-26,127.992500,128.684998,126.777496,127.730003,127.580795,32124400
2020-08-27,127.815002,128.500000,125.665001,126.282501,126.134995,31760400
2020-08-28,126.750000,131.479996,126.425003,131.477493,131.323898,53716000
2020-08-31,131.827499,135.750000,130.377502,133.744995,133.588776,50084000
2020-09-01,134.800003,139.937500,134.365005,138.210007,138.089859,51131600
2020-09-02,147.037506,147.267502,139.000000,143.464996,143.340302,87401200
2020-09-03,138.287506,138.845001,128.787506,130.154999,130.041855,94512800
2020-09-04,127.837502,131.750000,117.047501,126.224998,126.115280,146368400
2020-09-08,117.345001,125.500000,117.042503,119.129997,119.026443,79572800
2020-09-09,124.000000,128.092499,122.317497,127.150002,127.039474,73620000
2020-09-10,129.892502,130.652496,121.669998,123.117500,123.010483,69868400
2020-09-11,124.855003,126.525002,118.957497,121.644997,121.539253,63692800
2020-09-14,130.809998,133.149994,126.312500,128.722504,128.610611,120174400
2020-09-15,132.800003,132.987503,128.277496,129.910004,129.797073,72755600
2020-09-16,129.572495,130.927505,125.137497,125.144997,125.036209,55638400
2020-09-17,121.322502,125.897499,120.347504,124.635002,124.526657,79251200
2020-09-18,125.937500,126.324997,119.887497,121.892502,121.786545,69846000
2020-09-21,119.250000,125.224998,119.044998,125.172501,125.063690,72104400
2020-09-22,125.750000,126.480003,121.555000,126.377502,126.267647,64645200
2020-09-23,125.754997,127.269997,120.792503,121.237503,121.132111,64701200
2020-09-24,120.722504,125.695000,120.139999,123.480003,123.372665,73124000
2020-09-25,124.474998,128.835007,122.457497,128.737503,128.625610,58801600
2020-09-28,130.402496,130.517502,127.500000,130.350006,130.236679,57380800
2020-09-29,129.375000,134.427505,129.332504,132.257507,132.142548,62146000
2020-09-30,131.574997,136.225006,131.502502,135.304993,135.187378,68918400
2020-10-01,137.580002,137.627502,134.607498,136.145004,136.026642,52500400
2020-10-02,132.250000,135.195007,130.509995,130.622498,130.508942,55249600
2020-10-05,132.360001,136.442505,132.227493,136.425003,136.306412,47982000
2020-10-06,138.300003,141.419998,136.649994,137.365005,137.245605,78442000
2020-10-07,139.997498,141.192505,138.634995,139.639999,139.518616,41808400
2020-10-08,140.750000,140.845001,137.580002,138.387497,138.267212,37890000
2020-10-09,137.669998,138.242493,136.607498,137.627502,137.507874,34689200
2020-10-12,139.895004,143.470001,139.125000,142.259995,142.136337,43474400
2020-10-13,142.964996,143.485001,140.187500,142.482498,142.358643,34460400
2020-10-14,142.904999,143.427505,139.600006,140.952499,140.829971,27610000
2020-10-15,138.107498,140.057495,137.677505,139.699997,139.578568,26722400
2020-10-16,140.367493,141.214996,137.925003,138.115005,137.994949,24239200
2020-10-19,139.029999,139.835007,134.067505,134.977493,134.860168,29806800
2020-10-20,135.835007,137.997498,135.070007,136.455002,136.336380,22921200
2020-10-21,136.250000,137.914993,134.774994,135.247498,135.129944,21959600
2020-10-22,135.225006,136.117493,132.317505,133.610001,133.493851,29048000
