time,Open,High,Low,Close,Volume
2021-08-02 10:44:00-04:00,2692.98,2692.98,2692.98,2692.98,173
2021-08-02 10:46:00-04:00,2691.11,2691.11,2691.1,2691.1,290
2021-08-02 10:47:00-04:00,2691.55,2691.55,2691.55,2691.55,100
2021-08-02 10:50:00-04:00,2691.8,2691.8,2691.77,2691.77,336
2021-08-02 10:57:00-04:00,2692.37,2692.37,2692.3,2692.3,436
2021-08-02 10:59:00-04:00,2692.46,2692.46,2692.46,2692.46,167
2021-08-02 11:05:00-04:00,2697.06,2697.06,2697.06,2697.06,202
2021-08-02 11:06:00-04:00,2696.165,2696.165,2696.165,2696.165,136
2021-08-02 11:08:00-04:00,2698.72,2698.72,2698.62,2698.62,396
2021-08-02 11:11:00-04:00,2699.94,2699.94,2699.94,2699.94,135
2021-08-02 11:13:00-04:00,2697.44,2697.44,2697.44,2697.44,100
2021-08-02 11:23:00-04:00,2699.3,2699.3,2699.3,2699.3,101
2021-08-02 11:28:00-04:00,2699.63,2699.63,2699.63,2699.63,143
2021-08-02 11:31:00-04:00,2702.595,2702.595,2702.595,2702.595,228
2021-08-02 11:36:00-04:00,2700.965,2700.965,2700.73,2700.94,600
2021-08-02 11:37:00-04:00,2701.11,2701.11,2701.11,2701.11,136
2021-08-02 11:39:00-04:00,2701.73,2701.73,2701.73,2701.73,113
2021-08-02 11:50:00-04:00,2699.97,2699.97,2699.88,2699.88,497
2021-08-02 11:58:00-04:00,2695.115,2695.115,2693.0,2693.0,319
2021-08-02 12:03:00-04:00,2689.18,2689.37,2689.18,2689.37,287
2021-08-02 12:07:00-04:00,2689.06,2689.06,2689.06,2689.06,100
2021-08-02 12:14:00-04:00,2692.015,2692.015,2692.015,2692.015,111
2021-08-02 12:19:00-04:00,2693.9,2693.9,2693.9,2693.9,121
2021-08-02 12:20:00-04:00,2692.405,2692.405,2692.405,2692.405,104
2021-08-02 12:27:00-04:00,2690.52,2690.52,2690.52,2690.52,150
2021-08-02 12:32:00-04:00,2694.91,2694.91,2694.32,2694.32,393
2021-08-02 12:35:00-04:00,2693.415,2693.415,2693.415,2693.415,101
2021-08-02 12:37:00-04:00,2694.335,2694.335,2694.325,2694.325,201
2021-08-02 12:38:00-04:00,2694.84,2695.985,2694.84,2695.985,261
2021-08-02 12:39:00-04:00,2695.85,2695.85,2695.85,2695.85,112
2021-08-02 12:40:00-04:00,2694.58,2694.58,2694.58,2694.58,100
2021-08-02 12:45:00-04:00,2694.27,2694.89,2694.27,2694.89,468
2021-08-02 12:54:00-04:00,2695.51,2695.51,2695.51,2695.51,103
2021-08-02 12:56:00-04:00,2692.625,2692.625,2692.625,2692.625,226
2021-08-02 12:57:00-04:00,2692.345,2692.345,2692.345,2692.345,205
2021-08-02 12:58:00-04:00,2693.9,2693.9,2693.9,2693.9,161
2021-08-02 13:05:00-04:00,2693.05,2693.05,2693.05,2693.05,100
2021-08-02 13:09:00-04:00,2693.51,2693.51,2693.51,2693.51,197
2021-08-02 13:13:00-04:00,2695.94,2695.94,2695.94,2695.94,160
